# UnitType,Era        Level       Experience
Archer,Prehistoric    1           0
Archer,Medieval       1           0
Archer,Japanese       1           0
Archer,ModernAmerica  1           0
Archer,Future         1           0

Swordsman,Prehistoric 1           0
Swordsman,Medieval    1           0
Swordsman,Japanese    1           0
Swordsman,ModernAmerica 1           0
Swordsman,Future      1           0

Mage,Prehistoric      1           0
Mage,Medieval         1           0
Mage,Japanese         1           0
Mage,ModernAmerica    1           0
Mage,Future           1           0
